d3mIndex,log(wdi.pop),nvc.start.1
518,12.400697373637131,0.0
519,12.406778340379839,0.0
520,12.411715957018846,0.0
521,12.415263306426152,0.0
522,12.41769407136899,0.0
523,12.419537509092887,0.0
524,12.421567016312768,0.0
525,12.424340329097598,0.0
526,12.427999456916487,0.0
527,12.432331339744527,0.0
528,12.437101029687812,0.0
529,12.441907322740455,0.0
530,12.446482276488569,0.0
531,12.450781974758945,0.0
532,12.45488394359296,0.0
533,12.458763348532624,0.0
534,12.462430445714928,0.0
535,12.4658797972159,0.0
536,12.46910976050606,0.0
537,12.472133913803475,0.0
538,12.475007583457248,0.0
539,12.477781573846311,0.0
540,12.480536490867438,0.0
541,12.483264891627257,0.0
542,12.485997206142864,0.0
543,12.488880357565696,0.0
544,12.49207831360101,0.0
545,12.495715294794591,0.0
546,12.499846127618273,0.0
547,12.504412719169474,0.0
548,12.509298288357751,0.0
549,12.514310737877233,0.0
550,12.51930549882596,0.0
551,12.52424633744139,0.0
552,12.529159264594655,0.0
553,12.534058978501088,0.0
554,12.538988565948609,0.0
555,16.137309869882127,0.0
556,16.139465676694513,0.0
557,16.141714516556952,0.0
558,16.14054183978815,0.0
559,16.137309869882127,0.0
560,16.13396900011461,0.0
561,16.129727735188027,0.0
562,16.124971954897752,0.0
563,16.121589540212575,0.0
564,16.11859552599997,0.0
565,16.11086960586658,0.0
566,16.104503697438854,0.0
567,16.09758677432678,0.0
568,16.09072445416219,0.0
569,16.083814716981447,1.0
570,16.07769023632328,0.0
571,16.073098285027584,0.0
572,16.069745390017275,0.0
573,16.067538927341168,0.0
579,16.029645676046368,0.0
580,16.032967735504553,0.0
581,16.036948283372624,0.0
582,16.044424352679453,0.0
583,16.053889128036573,0.0
584,16.062970498053442,0.0
585,16.069725133724795,0.0
586,16.07529158927342,0.0
587,16.079225500350812,0.0
588,16.082057197042833,0.0
589,16.08304333395786,0.0
590,16.084865804672535,0.0
591,16.08878166374713,0.0
592,16.09192825140407,0.0
593,16.095074588050046,0.0
594,16.09796436966133,0.0
595,16.099751114131383,0.0
596,16.100985910585315,0.0
597,16.101918910183446,0.0
598,16.102817735696078,0.0
599,16.10391984735594,0.0
600,16.103893475812534,0.0
601,16.103621706977698,0.0
602,16.10354226227079,0.0
603,16.103527245192918,0.0
604,16.103825109419358,0.0
605,16.104181597927187,0.0
606,16.105034119335315,0.0
607,16.108213381788904,0.0
608,16.111845861647605,0.0
609,16.11482821871074,0.0
610,16.118544150367427,0.0
611,16.122601285325985,0.0
612,16.126507670504253,0.0
613,16.129589641241118,0.0
614,16.131684009621324,0.0
615,16.133637941383707,0.0
616,16.13605786023354,0.0
617,16.138193136740252,0.0
618,16.140485027770545,0.0
619,16.142910207332758,0.0
620,16.146349718908994,0.0
621,16.150832407857212,0.0
622,16.1550188229379,0.0
623,16.159346705419193,0.0
624,16.164847262500082,0.0
625,16.17144284464989,0.0
626,16.178786152957553,0.0
627,16.186685921412348,0.0
628,16.194731917138547,0.0
629,11.902030812309821,0.0
630,11.92832770252429,0.0
631,11.956456773884847,0.0
632,11.985064313012975,0.0
633,12.013191532342852,0.0
634,12.040885453501641,0.0
635,12.06824632862277,0.0
636,12.094615807223963,0.0
637,12.119250341574205,0.0
638,12.141811419276154,0.0
639,12.161953554890626,0.0
640,12.180211100003824,0.0
641,12.198141275203893,0.0
642,12.217744266390573,0.0
643,12.240290480516348,0.0
644,12.266108858974233,0.0
645,12.294468064291966,0.0
646,12.324224502052667,0.0
647,12.353889020224392,0.0
648,12.38248511131676,0.0
649,12.409821326404073,0.0
650,12.436255363675471,0.0
651,12.462055050723395,0.0
652,12.487636036973774,0.0
653,12.513263184369993,0.0
654,12.538913295917338,0.0
655,12.564432169766429,0.0
656,12.589782821835305,0.0
657,12.614918698464455,0.0
658,14.704068259859893,0.0
659,14.718108773736105,0.0
660,14.733093254892044,0.0
661,14.74898676990031,0.0
662,14.765762813049117,0.0
663,14.78339134018957,0.0
664,14.801842891215902,0.0
665,14.821075105582313,0.0
666,14.8410326640474,0.0
667,14.861654124858545,0.0
668,14.882896678441824,0.0
669,14.904725832671184,0.0
670,14.927137783709881,0.0
671,14.950157078084557,0.0
672,14.973820607673495,0.0
673,14.998145010372395,0.0
674,15.023127016113946,0.0
675,15.048730077002554,0.0
676,15.07490009361467,0.0
677,15.101572620503688,0.0
