d3mIndex,log(wdi.pop),wdi.popurb.mi,I(wdi.manuf.mi + wdi.servs.mi),wdi.sch2.mi,log1p(wdi.mobp100),ios.gattwto,nvc.start.1
51,17.059324116597708,23.237,58.67155867423182,29.14918,2.3826121718065005,0.0,0.0
52,17.086950103886217,23.587,60.085063831777404,28.99123,2.9293917729810803,0.0,0.0
53,17.11253919500878,23.946,65.3455340339123,38.37213,3.4085163248661603,0.0,0.0
54,17.137238487055225,24.313,60.7760070678324,44.23704,3.660864087216761,0.0,0.0
60,14.29099911744058,30.705,40.0686175505922,0.8445990702145709,0.0,0.0,0.0
61,14.322207671146483,30.943,56.296651011239796,17.567996127674597,0.0,0.0,0.0
62,14.352774976174393,31.015,40.113535242465204,1.5151947769606298,0.0,0.0,0.0
63,14.382312463794355,31.086,60.58879776436419,-10.2196699526331,0.0,0.0,0.0
64,14.411119328056788,31.158,40.1614248050002,6.84081557510003,0.0,0.0,0.0
65,14.438659540437213,31.23,42.134943756254785,-8.006349862241018,0.0,0.0,0.0
66,14.46500517923262,31.302,29.8325649133441,54.3815795877841,0.0,0.0,0.0
67,14.491307082687573,31.374,60.1650598024674,2.29240485158986,0.0,0.0,0.0
68,14.519732189792464,31.446,61.8585801589921,10.4384971684304,0.0,0.0,0.0
69,14.548693023669788,31.548,28.923129501950587,14.7784571868469,0.0,0.0,0.0
70,14.57420153545272,31.74,33.9801918692008,33.4676636351802,0.0,0.0,0.0
71,14.59843125562351,31.933000000000003,64.55190357672221,5.921250203949442,0.0,0.0,0.0
72,14.623380986690538,32.126999999999995,29.7834503014678,7.424138356390508,0.0,0.0,0.0
73,14.647006508929026,32.321,64.0132953791617,3.03767311015573,0.0,0.0,0.0
74,14.669978650685715,32.516,61.34915798674011,-11.3373609013664,0.0,0.0,0.0
75,14.692990188782654,32.712,27.29045695368893,33.7470607357254,0.0,0.0,0.0
76,14.71507254133241,32.908,48.29162050120889,84.27960999999998,0.0,0.0,0.0
77,14.737205063120966,33.105,54.548274666083906,54.0351265758609,0.0,0.0,0.0
78,14.757962482074218,33.302,35.8541677766279,86.35793000000002,0.0,0.0,0.0
