"d3mIndex","WoredaName","Year","Total_Malaria_Confirmed_and_Clinical","TMalaria_OutP_Cases","TMalaria_InP_Cases","TMalaria_InP_Deaths","TMSuspected_Fever_Examined","PosMalaria_RDT_or_Microscopy_PF_OutP_Cases","PosMalaria_RDT_or_Microscopy_PV_OutP_Cases","Meningits_total_Cases","Meningitis_OutP_Cases","Meningitis_InP_Cases","Meningitis_InP_Deaths","Dysentery_total_Cases","Dysentery_OutP_Cases","Dysentery_InP_Cases","Dysentery_InP_Deaths","Typhoid_fever_Total_cases","Typhoid_fever_OutP_Cases","Typhoid_fever_InP_Cases","Typhoid_fever_InP_Deaths","Relapsing_fever_total_Cases","Relapsing_fever_OutP_Cases","Relapsing_fever_InP_Cases","Relapsing_fever_InP_Deaths","Epidemic_Typhus_Total_Cases","Epidemic_Typhus_OutP_Cases","Epidemic_Typhus_InP_Cases","Epidemic_Typhus_InP_Deaths","Malnutrition_total_Cases","Malnutrition_OutP_Cases","Malnutrition_InP_Cases","Malnutrition_InP_Deaths","AFP_Polio_Cases","AFP_Polio_Deaths","Anthrax_Cases","Anthrax_Deaths","Cholera_AWD_Cases","Cholera_AWD_Deaths","Dracunculiasis_Guinea_worm_Cases","Dracunculiasis_Guinea_worm_Deaths","Measles_Cases","Measles_Deaths","Neonatal_Tetanus_Cases","Neonatal_Tetanus_Deaths","Pandemic_Influenza_Cases","Pandemic_Influenza_Deaths","Rabies_Cases","Rabies_Deaths","SARS_Cases","SARS_Deaths","Small_pox_Cases","Small_pox_Deaths","Viral_hemorrhagic_fever_Cases","Viral_hemorrhagic_fever_Deaths","Yellow_fever_Cases","Yellow_fever_Deaths","Maternal_Death","Other_1_Cases","Other_1_Deaths","Other_2_Cases","Other_2_Deaths","Other_3_Cases","Other_3_Deaths","No_of_Gov_HPs_expected_by_RHB","No_of_Gov_HCs_expected_by_RHB","No_of_Gov_Hosps_expected_by_RHB","No_of_NGOHF_expected_by_RHB","No_of_OtherHFs_expected_by_RHB","No_of_Gov_HPs_Reported","No_of_Gov_HCs_Reported","All_Total_sites_Reported","All_Total_sites_Expected_by_RHB","Total_Gov_sites_Reported","RegionName","ZoneName"
127,"Alamata Town",2017,1905,1815,90,0,27234,1433,472,0,0,0,0,122,122,0,0,279,279,0,0,7,7,0,0,1,1,0,0,95,91,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,0,267,0,51,363,369,102,"Tigray","South Tigray"
128,"Alamata Town",2018,2511,2487,24,0,31473,1630,884,0,0,0,0,160,160,0,0,146,146,0,0,0,0,0,0,3,3,0,0,84,81,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,0,297,0,52,401,401,104,"Tigray","South Tigray"
129,"Alatyo HSP",2017,59,59,0,0,869,12,44,0,0,0,0,0,0,0,0,432,432,0,0,0,0,0,0,392,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,42,41,0,"SNNPR","Hawassa Town"
130,"Alatyo HSP",2018,83,83,0,0,578,22,71,0,0,0,0,0,0,0,0,366,366,0,0,0,0,0,0,318,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,39,36,1,"SNNPR","Hawassa Town"
131,"Ale",2017,174,174,0,0,1506,66,108,0,0,0,0,162,162,0,0,859,859,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,988,102,0,52,52,853,104,1055,1194,957,"Oromia","Ilu Aba Bora"
132,"Ale",2018,89,89,0,0,1287,51,38,0,0,0,0,118,118,0,0,948,948,0,0,0,0,0,0,0,0,0,0,8,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,104,0,52,52,847,104,1052,1196,951,"Oromia","Ilu Aba Bora"
133,"Alefa",2017,6045,6045,0,0,19340,4035,2009,0,0,0,0,342,341,1,0,94,94,0,0,0,0,0,0,1,1,0,0,6,6,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1696,260,0,0,277,1598,260,1945,2233,1858,"Amhara","North Gondar"
134,"Alefa",2018,5433,5431,2,0,17306,3900,1533,0,0,0,0,465,465,0,0,44,44,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1764,260,1,0,100,1716,260,1983,2125,1976,"Amhara","North Gondar"
135,"Aleiltu",2017,14,14,0,0,99,5,7,0,0,0,0,220,220,0,0,833,833,0,0,0,0,0,0,190,190,0,0,24,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,940,188,0,0,171,949,188,1236,1299,1137,"Oromia","North Shewa"
136,"Aleiltu",2018,6,6,0,0,49,2,4,0,0,0,0,255,255,0,0,1550,1511,39,0,0,0,0,0,423,423,0,0,11,11,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,960,192,0,0,190,949,190,1236,1342,1139,"Oromia","North Shewa"
137,"ALERT Hospital",2017,3,2,2,0,2,3,0,35,4,31,1,0,0,0,0,19,18,1,0,0,0,0,0,1,1,0,0,34,7,27,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,51,0,0,0,0,51,51,51,"Addis Ababa","Kolfe Keraniyo"
138,"ALERT Hospital",2018,3,2,1,0,0,1,1,37,23,14,0,6,6,0,0,17,17,0,0,0,0,0,0,2,2,0,0,18,1,17,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,34,0,0,0,0,51,34,51,"Addis Ababa","Kolfe Keraniyo"
139,"Aleta Wondo",2017,144,144,0,0,1548,41,83,0,0,0,0,191,191,0,0,2289,2289,0,0,3,3,0,0,708,708,0,0,433,424,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1421,343,0,40,0,1417,343,1803,1804,1760,"SNNPR","Sidama"
140,"Aleta Wondo",2018,77,77,0,0,2049,31,46,0,0,0,0,106,106,0,0,2193,2193,0,0,4,0,4,0,875,875,0,0,349,338,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1334,362,0,129,15,1334,335,1805,1840,1670,"SNNPR","Sidama"
