d3mIndex,pmid,py,py2,py3,minpol,rbal,lnkmdist,mido
28505,0,92,8464,778688.0,-7.0,0.21137284701114495,7.37963215260955,0
28506,0,93,8649,804357.0,-7.0,0.221114754098361,7.37963215260955,0
28507,0,94,8836,830584.0,-7.0,0.183563211084981,7.37963215260955,0
28508,0,95,9025,857375.0,-7.0,0.19462905194629104,7.37963215260955,0
28509,0,96,9216,884736.0,-7.0,,7.37963215260955,0
28510,0,97,9409,912673.0,-7.0,,7.37963215260955,0
28511,0,98,9604,941192.0,-7.0,,7.37963215260955,0
28512,0,99,9801,970299.0,-7.0,,7.37963215260955,0
28513,0,100,10000,1000000.0,-7.0,,7.37963215260955,0
28514,0,101,10201,1030301.0,-7.0,,7.37963215260955,0
28515,0,102,10404,1061208.0,,,7.37963215260955,0
28516,0,71,5041,357911.0,-6.0,0.0947175052645728,7.35755620091035,0
28517,0,72,5184,373248.0,7.0,0.0948351577729697,7.35755620091035,0
28518,0,73,5329,389017.0,-7.0,0.0940854686793074,7.35755620091035,0
28519,0,74,5476,405224.0,-7.0,0.109595990341105,7.35755620091035,0
28520,0,75,5625,421875.0,-7.0,0.0956114733768052,7.35755620091035,0
28521,0,76,5776,438976.0,7.0,0.0799414122725871,7.35755620091035,0
28522,0,77,5929,456533.0,7.0,0.0811446564178552,7.35755620091035,0
28523,0,78,6084,474552.0,7.0,0.0768943496284124,7.35755620091035,0
28524,0,79,6241,493039.0,7.0,0.0758853589679448,7.35755620091035,0
28525,0,80,6400,512000.0,7.0,0.0770953757225434,7.35755620091035,0
28526,0,81,6561,531441.0,-10.0,0.0894310356819921,7.35755620091035,0
28527,0,82,6724,551368.0,-2.0,0.424703366445916,7.35755620091035,0
28528,0,83,6889,571787.0,-2.0,,7.35755620091035,0
28529,0,84,7056,592704.0,-2.0,,7.35755620091035,0
28530,0,85,7225,614125.0,-2.0,,7.35755620091035,0
28531,0,86,7396,636056.0,-10.0,,7.35755620091035,0
28532,0,87,7569,658503.0,-10.0,,7.35755620091035,0
28533,0,88,7744,681472.0,4.0,,7.35755620091035,0
28534,0,89,7921,704969.0,,,7.35755620091035,0
28535,0,71,5041,357911.0,-6.0,0.08718604363426401,7.0175061429412615,0
28536,0,72,5184,373248.0,7.0,0.0843205973105786,7.0175061429412615,0
28537,0,73,5329,389017.0,-7.0,0.09238318323169503,7.0175061429412615,0
28538,0,74,5476,405224.0,-7.0,0.10104392726184197,7.0175061429412615,0
28539,0,75,5625,421875.0,-7.0,0.0847517730496454,7.0175061429412615,0
28540,0,76,5776,438976.0,7.0,0.0742943115059464,7.0175061429412615,0
28541,0,77,5929,456533.0,7.0,0.0769974340047102,7.0175061429412615,0
28542,0,78,6084,474552.0,7.0,0.0818948373239997,7.0175061429412615,0
28543,0,79,6241,493039.0,7.0,0.0878168810222902,7.0175061429412615,0
28544,0,80,6400,512000.0,7.0,0.0897713648696969,7.0175061429412615,0
28545,0,81,6561,531441.0,-10.0,0.109689252884595,7.0175061429412615,0
28546,0,82,6724,551368.0,-2.0,0.492539701588063,7.0175061429412615,0
28547,0,83,6889,571787.0,-2.0,,7.0175061429412615,0
28548,0,84,7056,592704.0,-2.0,,7.0175061429412615,0
28549,0,85,7225,614125.0,-2.0,,7.0175061429412615,0
28550,0,86,7396,636056.0,-10.0,,7.0175061429412615,0
28551,0,87,7569,658503.0,-10.0,,7.0175061429412615,0
28552,0,88,7744,681472.0,4.0,,7.0175061429412615,0
28553,0,89,7921,704969.0,,,7.0175061429412615,0
28554,0,24,576,13824.0,-7.0,0.154446546830653,7.607878073278509,0
28555,0,25,625,15625.0,-7.0,0.154732324373165,7.607878073278509,0
28556,0,26,676,17576.0,-7.0,0.145792349726776,7.607878073278509,0
28557,0,27,729,19683.0,-7.0,0.105350860951676,7.607878073278509,0
28558,0,28,784,21952.0,-7.0,0.11987447698744802,7.607878073278509,0
28559,0,29,841,24389.0,6.0,0.1374156219865,7.607878073278509,0
28560,0,30,900,27000.0,6.0,0.130335539831089,7.607878073278509,0
28561,0,31,961,29791.0,6.0,0.156143759106362,7.607878073278509,0
28562,0,32,1024,32768.0,6.0,0.153520131857782,7.607878073278509,0
28563,0,33,1089,35937.0,6.0,0.151358950328022,7.607878073278509,0
28564,0,34,1156,39304.0,-10.0,0.12521874392378002,7.607878073278509,0
28565,0,35,1225,42875.0,-2.0,0.0263136522374726,7.607878073278509,0
28566,0,36,1296,46656.0,-2.0,,7.607878073278509,0
28567,0,37,1369,50653.0,-2.0,,7.607878073278509,0
28568,0,38,1444,54872.0,-2.0,,7.607878073278509,0
28569,0,39,1521,59319.0,-10.0,,7.607878073278509,0
28570,0,40,1600,64000.0,-10.0,,7.607878073278509,0
28571,0,41,1681,68921.0,4.0,,7.607878073278509,0
28572,0,42,1764,74088.0,,,7.607878073278509,0
28573,0,15,225,3375.0,-6.0,0.19962157048249804,7.75876054415766,0
28574,0,16,256,4096.0,1.0,0.19335893381522495,7.75876054415766,0
28575,0,17,289,4913.0,-7.0,0.15628415300546394,7.75876054415766,0
28576,0,18,324,5832.0,-7.0,0.131457137567117,7.75876054415766,0
28577,0,19,361,6859.0,-7.0,0.125523012552301,7.75876054415766,0
28578,0,20,400,8000.0,4.0,0.144648023143684,7.75876054415766,0
28579,0,21,441,9261.0,4.0,0.1351289659895,7.75876054415766,0
28580,0,22,484,10648.0,4.0,0.165128703254007,7.75876054415766,0
28581,0,23,529,12167.0,4.0,0.159877560631034,7.75876054415766,0
28582,0,24,576,13824.0,4.0,0.156044985941893,7.75876054415766,0
28583,0,25,625,15625.0,-10.0,0.132996305658176,7.75876054415766,0
28584,0,26,676,17576.0,-2.0,0.0282222041744498,7.75876054415766,0
28585,0,27,729,19683.0,-2.0,,7.75876054415766,0
28586,0,28,784,21952.0,-2.0,,7.75876054415766,0
28587,0,29,841,24389.0,-2.0,,7.75876054415766,0
28588,0,30,900,27000.0,-10.0,,7.75876054415766,0
28589,0,31,961,29791.0,-10.0,,7.75876054415766,0
28590,0,32,1024,32768.0,4.0,,7.75876054415766,0
28591,0,33,1089,35937.0,,,7.75876054415766,0
28592,0,71,5041,357911.0,-6.0,0.325731895223421,7.685703061234549,0
28593,0,72,5184,373248.0,7.0,0.3278045168456131,7.685703061234549,0
28594,0,73,5329,389017.0,-7.0,0.274692284599219,7.685703061234549,0
28595,0,74,5476,405224.0,-7.0,0.34892434911816,7.685703061234549,0
28596,0,75,5625,421875.0,-7.0,0.312765818229405,7.685703061234549,0
