d3mIndex,administrative_area_level_1,administrative_area_level_2,parseDate,uniloc.x,precipitation,year,TOTAL_A_KM,WATER_A_KM,LAND_A_KM,ISOALPHA,COUNTRYNM,un_wpp_pop_est_li,un_wpp_pop_dens_li,uniloc.y,Maize(white)-Retail_li,Wheat-Wholesale_li
40,Addis Ababa,,2014-05,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2014.0,542.9348,0.0,542.9348,ETH,Ethiopia,3477675.2,6405.32806666667,Ethiopia-Addis Ababa-Addis Ababa,,956.1481666666671
41,Addis Ababa,,2014-06,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2014.0,542.9348,0.0,542.9348,ETH,Ethiopia,3483097.55,6415.31518333333,Ethiopia-Addis Ababa-Addis Ababa,,970.5185333333329
42,Addis Ababa,,2014-07,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2014.0,542.9348,0.0,542.9348,ETH,Ethiopia,3488519.9,6425.3023,Ethiopia-Addis Ababa-Addis Ababa,,984.8889
43,Addis Ababa,,2014-08,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2014.0,542.9348,0.0,542.9348,ETH,Ethiopia,3493942.25,6435.28941666667,Ethiopia-Addis Ababa-Addis Ababa,,999.259266666667
44,Addis Ababa,,2014-09,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2014.0,542.9348,0.0,542.9348,ETH,Ethiopia,3499364.6,6445.27653333333,Ethiopia-Addis Ababa-Addis Ababa,,1013.62963333333
45,Addis Ababa,,2014-10,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2014.0,542.9348,0.0,542.9348,ETH,Ethiopia,3504786.95,6455.26365,Ethiopia-Addis Ababa-Addis Ababa,,1028.0
46,Addis Ababa,,2014-11,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2014.0,542.9348,0.0,542.9348,ETH,Ethiopia,3510209.3,6465.25076666667,Ethiopia-Addis Ababa-Addis Ababa,,970.0
47,Addis Ababa,,2014-12,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2014.0,542.9348,0.0,542.9348,ETH,Ethiopia,3515631.65,6475.2378833333305,Ethiopia-Addis Ababa-Addis Ababa,,980.0
48,Addis Ababa,,2015-01,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2015.0,542.9348,0.0,542.9348,ETH,Ethiopia,3521054.0,6485.225,Ethiopia-Addis Ababa-Addis Ababa,,1016.0189
49,Addis Ababa,,2015-02,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2015.0,542.9348,0.0,542.9348,ETH,Ethiopia,3526513.63333333,6495.28078333333,Ethiopia-Addis Ababa-Addis Ababa,,1019.2390222222199
50,Addis Ababa,,2015-03,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2015.0,542.9348,0.0,542.9348,ETH,Ethiopia,3531973.26666667,6505.33656666667,Ethiopia-Addis Ababa-Addis Ababa,,1022.45914444444
51,Addis Ababa,,2015-04,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2015.0,542.9348,0.0,542.9348,ETH,Ethiopia,3537432.9,6515.39235,Ethiopia-Addis Ababa-Addis Ababa,,1025.67926666667
52,Addis Ababa,,2015-05,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2015.0,542.9348,0.0,542.9348,ETH,Ethiopia,3542892.53333333,6525.44813333333,Ethiopia-Addis Ababa-Addis Ababa,,1028.8993888888901
53,Addis Ababa,,2015-06,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2015.0,542.9348,0.0,542.9348,ETH,Ethiopia,3548352.16666667,6535.50391666667,Ethiopia-Addis Ababa-Addis Ababa,,1032.11951111111
54,Addis Ababa,,2015-07,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2015.0,542.9348,0.0,542.9348,ETH,Ethiopia,3553811.8,6545.5597,Ethiopia-Addis Ababa-Addis Ababa,,1035.33963333333
55,Addis Ababa,,2015-08,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2015.0,542.9348,0.0,542.9348,ETH,Ethiopia,3559271.43333333,6555.61548333333,Ethiopia-Addis Ababa-Addis Ababa,,1038.55975555556
56,Addis Ababa,,2015-09,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2015.0,542.9348,0.0,542.9348,ETH,Ethiopia,3564731.06666667,6565.67126666667,Ethiopia-Addis Ababa-Addis Ababa,,1041.7798777777803
57,Addis Ababa,,2015-10,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2015.0,542.9348,0.0,542.9348,ETH,Ethiopia,3570190.7,6575.72705,Ethiopia-Addis Ababa-Addis Ababa,,1045.0
58,Addis Ababa,,2015-11,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2015.0,542.9348,0.0,542.9348,ETH,Ethiopia,3575650.33333333,6585.78283333333,Ethiopia-Addis Ababa-Addis Ababa,,984.0
59,Addis Ababa,,2015-12,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2015.0,542.9348,0.0,542.9348,ETH,Ethiopia,3581109.96666667,6595.83861666667,Ethiopia-Addis Ababa-Addis Ababa,,972.0
60,Addis Ababa,,2016-01,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2016.0,542.9348,0.0,542.9348,ETH,Ethiopia,3586569.6,6605.8944,Ethiopia-Addis Ababa-Addis Ababa,,921.4444
61,Addis Ababa,,2016-02,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2016.0,542.9348,0.0,542.9348,ETH,Ethiopia,3592029.23333333,6615.95018333333,Ethiopia-Addis Ababa-Addis Ababa,,912.395022222222
62,Addis Ababa,,2016-03,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2016.0,542.9348,0.0,542.9348,ETH,Ethiopia,3597488.86666667,6626.00596666667,Ethiopia-Addis Ababa-Addis Ababa,,903.345644444444
63,Addis Ababa,,2016-04,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2016.0,542.9348,0.0,542.9348,ETH,Ethiopia,3602948.5,6636.06175,Ethiopia-Addis Ababa-Addis Ababa,,894.2962666666671
64,Addis Ababa,,2016-05,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2016.0,542.9348,0.0,542.9348,ETH,Ethiopia,3608408.13333333,6646.11753333333,Ethiopia-Addis Ababa-Addis Ababa,,885.246888888889
65,Addis Ababa,,2016-06,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2016.0,542.9348,0.0,542.9348,ETH,Ethiopia,3613867.76666667,6656.17331666667,Ethiopia-Addis Ababa-Addis Ababa,,876.197511111111
66,Addis Ababa,,2016-07,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2016.0,542.9348,0.0,542.9348,ETH,Ethiopia,3619327.4,6666.2291,Ethiopia-Addis Ababa-Addis Ababa,,867.148133333333
67,Addis Ababa,,2016-08,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2016.0,542.9348,0.0,542.9348,ETH,Ethiopia,3624787.03333333,6676.28488333333,Ethiopia-Addis Ababa-Addis Ababa,,858.0987555555549
68,Addis Ababa,,2016-09,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2016.0,542.9348,0.0,542.9348,ETH,Ethiopia,3630246.66666667,6686.34066666667,Ethiopia-Addis Ababa-Addis Ababa,,849.049377777778
69,Addis Ababa,,2016-10,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2016.0,542.9348,0.0,542.9348,ETH,Ethiopia,3635706.3,6696.39645,Ethiopia-Addis Ababa-Addis Ababa,,840.0
70,Addis Ababa,,2016-11,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2016.0,542.9348,0.0,542.9348,ETH,Ethiopia,3641165.93333333,6706.45223333333,Ethiopia-Addis Ababa-Addis Ababa,,795.0
71,Addis Ababa,,2016-12,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2016.0,542.9348,0.0,542.9348,ETH,Ethiopia,3646625.56666667,6716.50801666667,Ethiopia-Addis Ababa-Addis Ababa,,762.0
72,Addis Ababa,,2017-01,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2017.0,542.9348,0.0,542.9348,ETH,Ethiopia,3652085.2,6726.5638,Ethiopia-Addis Ababa-Addis Ababa,,911.1111
73,Addis Ababa,,2017-02,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2017.0,542.9348,0.0,542.9348,ETH,Ethiopia,3657544.83333333,6736.61958333333,Ethiopia-Addis Ababa-Addis Ababa,,934.765422222222
74,Addis Ababa,,2017-03,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2017.0,542.9348,0.0,542.9348,ETH,Ethiopia,3663004.46666667,6746.67536666667,Ethiopia-Addis Ababa-Addis Ababa,,958.419744444444
75,Addis Ababa,,2017-04,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2017.0,542.9348,0.0,542.9348,ETH,Ethiopia,3668464.1,6756.73115,Ethiopia-Addis Ababa-Addis Ababa,,982.074066666667
76,Addis Ababa,,2017-05,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2017.0,542.9348,0.0,542.9348,ETH,Ethiopia,3673923.73333333,6766.78693333333,Ethiopia-Addis Ababa-Addis Ababa,,1005.7283888888901
77,Addis Ababa,,2017-06,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2017.0,542.9348,0.0,542.9348,ETH,Ethiopia,3679383.36666667,6776.84271666667,Ethiopia-Addis Ababa-Addis Ababa,,1029.38271111111
78,Addis Ababa,,2017-07,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2017.0,542.9348,0.0,542.9348,ETH,Ethiopia,3684843.0,6786.8985,Ethiopia-Addis Ababa-Addis Ababa,,1053.03703333333
79,Addis Ababa,,2017-08,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2017.0,542.9348,0.0,542.9348,ETH,Ethiopia,3690302.63333333,6796.95428333333,Ethiopia-Addis Ababa-Addis Ababa,,1076.69135555556
80,Addis Ababa,,2017-09,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2017.0,542.9348,0.0,542.9348,ETH,Ethiopia,3695762.26666667,6807.01006666667,Ethiopia-Addis Ababa-Addis Ababa,,1100.34567777778
81,Addis Ababa,,2017-10,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2017.0,542.9348,0.0,542.9348,ETH,Ethiopia,3701221.9,6817.06585,Ethiopia-Addis Ababa-Addis Ababa,,1124.0
82,Addis Ababa,,2017-11,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2017.0,542.9348,0.0,542.9348,ETH,Ethiopia,3706681.53333333,6827.1216333333305,Ethiopia-Addis Ababa-Addis Ababa,,1137.0
83,Addis Ababa,,2017-12,Ethiopia-ADDIS ABABA CITY ADMINISTRATION-ADDIS ABABA CITY ADMINISTRATION,,2017.0,542.9348,0.0,542.9348,ETH,Ethiopia,3712141.16666667,6837.17741666667,Ethiopia-Addis Ababa-Addis Ababa,,1125.0
84,Afar,Afar Zone 1,2011-01,Ethiopia-AFFAR REGION-ZONE 1,2.890281892125,2011.0,35332.18,336.4713,34995.71,ETH,Ethiopia,493367.6,14.097944,,,
85,Afar,Afar Zone 1,2011-02,Ethiopia-AFFAR REGION-ZONE 1,2.262574256625,2011.0,35332.18,336.4713,34995.71,ETH,Ethiopia,494284.233333333,14.124136833333301,,,
86,Afar,Afar Zone 1,2011-03,Ethiopia-AFFAR REGION-ZONE 1,22.707960530375,2011.0,35332.18,336.4713,34995.71,ETH,Ethiopia,495200.86666666705,14.150329666666698,,,
87,Afar,Afar Zone 1,2011-04,Ethiopia-AFFAR REGION-ZONE 1,10.816188958,2011.0,35332.18,336.4713,34995.71,ETH,Ethiopia,496117.5,14.1765225,,,
88,Afar,Afar Zone 1,2011-05,Ethiopia-AFFAR REGION-ZONE 1,75.48638626375,2011.0,35332.18,336.4713,34995.71,ETH,Ethiopia,497034.13333333295,14.202715333333302,,,
89,Afar,Afar Zone 1,2011-06,Ethiopia-AFFAR REGION-ZONE 1,4.10148568225,2011.0,35332.18,336.4713,34995.71,ETH,Ethiopia,497950.766666667,14.228908166666699,,,
90,Afar,Afar Zone 1,2011-07,Ethiopia-AFFAR REGION-ZONE 1,47.37346956375,2011.0,35332.18,336.4713,34995.71,ETH,Ethiopia,498867.4,14.255101000000002,,,
91,Afar,Afar Zone 1,2011-08,Ethiopia-AFFAR REGION-ZONE 1,151.7970213525,2011.0,35332.18,336.4713,34995.71,ETH,Ethiopia,499784.033333333,14.2812938333333,,,
92,Afar,Afar Zone 1,2011-09,Ethiopia-AFFAR REGION-ZONE 1,31.244926935,2011.0,35332.18,336.4713,34995.71,ETH,Ethiopia,500700.66666666704,14.307486666666698,,,
93,Afar,Afar Zone 1,2011-10,Ethiopia-AFFAR REGION-ZONE 1,20.92917343625,2011.0,35332.18,336.4713,34995.71,ETH,Ethiopia,501617.3,14.3336795,,,
94,Afar,Afar Zone 1,2011-11,Ethiopia-AFFAR REGION-ZONE 1,9.178929343875,2011.0,35332.18,336.4713,34995.71,ETH,Ethiopia,502533.93333333294,14.359872333333302,,,
95,Afar,Afar Zone 1,2011-12,Ethiopia-AFFAR REGION-ZONE 1,5.664892631875,2011.0,35332.18,336.4713,34995.71,ETH,Ethiopia,503450.56666666706,14.386065166666699,,,
96,Afar,Afar Zone 1,2012-01,Ethiopia-AFFAR REGION-ZONE 1,6.8773775788750005,2012.0,35332.18,336.4713,34995.71,ETH,Ethiopia,504367.2,14.412258,,,
97,Afar,Afar Zone 1,2012-02,Ethiopia-AFFAR REGION-ZONE 1,7.159863118624999,2012.0,35332.18,336.4713,34995.71,ETH,Ethiopia,505283.83333333296,14.438450833333302,,,
98,Afar,Afar Zone 1,2012-03,Ethiopia-AFFAR REGION-ZONE 1,24.524956147375,2012.0,35332.18,336.4713,34995.71,ETH,Ethiopia,506200.466666667,14.4646436666667,,,
99,Afar,Afar Zone 1,2012-04,Ethiopia-AFFAR REGION-ZONE 1,91.49589461,2012.0,35332.18,336.4713,34995.71,ETH,Ethiopia,507117.1,14.490836499999999,,,
